round,spid,label
1,10000003,0
1,10000004,2
1,10000005,2
1,10000006,2
1,10000008,2
1,10000010,1
1,10000016,2
1,10000017,2
1,10000019,2
1,10000020,2
1,10000021,2
1,10000022,2
1,10000024,0
1,10000027,2
1,10000029,2
1,10000030,2
1,10000032,2
1,10000033,2
1,10000034,0
1,10000036,0
1,10000037,2
1,10000038,0
1,10000040,2
1,10000041,0
1,10000043,0
1,10000044,1
1,10000045,0
1,10000047,0
1,10000048,2
1,10000049,0
1,10000050,2
1,10000051,1
1,10000052,2
1,10000053,0
1,10000055,2
1,10000056,2
1,10000057,2
1,10000060,2
1,10000063,2
1,10000064,0
1,10000068,0
1,10000070,2
1,10000072,2
1,10000074,2
1,10000076,0
1,10000078,0
1,10000080,2
1,10000081,2
1,10000083,2
1,10000084,2
1,10000085,2
1,10000087,2
1,10000088,0
1,10000090,2
1,10000092,0
1,10000094,0
1,10000095,2
1,10000096,2
1,10000097,2
1,10000098,2
1,10000100,1
1,10000102,2
1,10000104,0
1,10000106,2
1,10000107,2
1,10000110,0
1,10000112,2
1,10000113,2
1,10000115,1
1,10000117,2
1,10000118,2
1,10000119,2
1,10000120,2
1,10000121,2
1,10000125,2
1,10000127,2
1,10000128,2
1,10000130,0
1,10000133,2
1,10000134,1
1,10000136,2
1,10000137,0
1,10000138,2
1,10000140,2
1,10000145,2
1,10000146,2
1,10000147,2
1,10000149,0
1,10000150,0
1,10000153,1
1,10000154,0
1,10000155,2
1,10000156,2
1,10000158,2
1,10000159,2
1,10000161,2
1,10000166,1
1,10000171,2
1,10000174,2
1,10000175,2
1,10000177,2
1,10000178,2
1,10000187,2
1,10000188,2
1,10000190,2
1,10000192,2
1,10000196,2
1,10000198,2
1,10000200,2
1,10000202,2
1,10000203,2
1,10000204,0
1,10000205,2
1,10000207,2
1,10000212,2
1,10000214,2
1,10000215,0
1,10000216,2
1,10000222,2
1,10000223,1
1,10000225,2
1,10000227,2
1,10000228,2
1,10000229,2
1,10000230,2
1,10000233,2
1,10000234,2
1,10000235,2
1,10000236,2
1,10000239,2
1,10000242,2
1,10000243,0
1,10000244,2
1,10000248,0
1,10000249,2
1,10000251,2
1,10000253,2
1,10000254,2
1,10000257,0
1,10000258,2
1,10000259,2
1,10000266,2
1,10000267,0
1,10000268,2
1,10000269,0
1,10000273,1
1,10000275,2
1,10000276,2
1,10000277,0
1,10000278,2
1,10000279,0
1,10000281,2
1,10000282,2
1,10000284,2
1,10000286,1
1,10000289,2
1,10000291,2
1,10000293,2
1,10000297,2
1,10000298,2
1,10000299,2
1,10000301,0
1,10000304,2
1,10000305,0
1,10000306,2
1,10000307,0
1,10000308,2
1,10000313,2
1,10000314,2
1,10000315,2
1,10000317,1
1,10000320,2
1,10000321,1
1,10000322,2
1,10000323,2
1,10000326,2
1,10000330,2
1,10000332,1
1,10000333,2
1,10000334,0
1,10000336,2
1,10000338,0
1,10000341,2
1,10000343,0
1,10000344,2
1,10000346,2
1,10000347,2
1,10000348,2
1,10000349,2
1,10000350,2
1,10000351,0
1,10000352,0
1,10000354,0
1,10000356,2
1,10000357,2
1,10000358,2
1,10000359,0
1,10000361,2
1,10000362,2
1,10000364,2
1,10000366,2
1,10000368,2
1,10000369,2
1,10000370,2
1,10000371,2
1,10000372,2
1,10000373,2
1,10000374,2
1,10000375,2
1,10000376,0
1,10000379,2
1,10000380,2
1,10000382,1
1,10000383,2
1,10000384,0
1,10000385,0
1,10000386,0
1,10000388,2
1,10000390,2
1,10000393,2
1,10000395,2
1,10000396,0
1,10000400,2
1,10000401,2
1,10000402,2
1,10000403,2
1,10000404,2
1,10000405,2
1,10000406,2
1,10000408,2
1,10000409,2
1,10000412,2
1,10000413,2
1,10000414,2
1,10000415,2
1,10000416,2
1,10000417,2
1,10000418,0
1,10000420,0
1,10000421,2
1,10000425,1
1,10000426,2
1,10000427,0
1,10000429,2
1,10000430,2
1,10000431,2
1,10000433,0
1,10000434,2
1,10000435,0
1,10000437,2
1,10000438,2
1,10000439,2
1,10000440,2
1,10000441,0
1,10000444,2
1,10000449,2
1,10000455,2
1,10000462,2
1,10000464,1
1,10000465,2
1,10000466,2
1,10000467,2
1,10000468,2
1,10000469,0
1,10000470,2
1,10000473,2
1,10000474,2
1,10000478,2
1,10000481,2
1,10000483,1
1,10000484,2
1,10000485,2
1,10000486,2
1,10000487,2
1,10000488,2
1,10000490,2
1,10000492,2
1,10000493,1
1,10000494,0
1,10000497,2
1,10000499,2
1,10000501,2
1,10000504,0
1,10000507,2
1,10000509,1
1,10000511,2
1,10000512,2
1,10000513,2
1,10000514,2
1,10000515,0
1,10000517,2
1,10000519,2
1,10000520,0
1,10000521,0
1,10000522,2
1,10000526,2
1,10000538,2
1,10000540,2
1,10000541,1
1,10000544,2
1,10000545,2
1,10000546,2
1,10000548,2
1,10000549,2
1,10000550,2
1,10000552,0
1,10000556,2
1,10000562,2
1,10000563,2
1,10000566,0
1,10000567,0
1,10000570,2
1,10000572,0
1,10000573,2
1,10000574,2
1,10000575,1
1,10000576,0
1,10000577,2
1,10000579,2
1,10000580,2
1,10000582,1
1,10000583,0
1,10000584,2
1,10000585,2
1,10000586,0
1,10000590,0
1,10000591,0
1,10000592,2
1,10000593,2
1,10000595,1
1,10000596,2
1,10000598,2
1,10000599,0
1,10000600,2
1,10000604,2
1,10000608,2
1,10000609,2
1,10000616,2
1,10000617,2
1,10000619,0
1,10000620,0
1,10000621,0
1,10000622,2
1,10000626,2
1,10000627,2
1,10000628,2
1,10000630,2
1,10000633,2
1,10000634,2
1,10000635,0
1,10000636,2
1,10000637,0
1,10000641,2
1,10000645,0
1,10000647,1
1,10000648,2
1,10000649,0
1,10000651,0
1,10000656,0
1,10000657,2
1,10000659,0
1,10000662,2
1,10000663,0
1,10000664,2
1,10000665,1
1,10000668,2
1,10000670,2
1,10000671,2
1,10000674,2
1,10000675,2
1,10000678,2
1,10000679,2
1,10000680,2
1,10000683,2
1,10000684,0
1,10000685,2
1,10000686,2
1,10000690,2
1,10000693,2
1,10000694,2
1,10000697,2
1,10000700,2
1,10000702,2
1,10000703,2
1,10000704,2
1,10000705,2
1,10000708,2
1,10000712,2
1,10000715,2
1,10000717,2
1,10000719,2
1,10000721,2
1,10000724,2
1,10000726,2
1,10000729,0
1,10000732,2
1,10000733,0
1,10000735,0
1,10000736,2
1,10000737,2
1,10000738,2
1,10000741,2
1,10000746,0
1,10000747,0
1,10000749,2
1,10000750,2
1,10000752,2
1,10000753,2
1,10000754,2
1,10000755,2
1,10000763,2
1,10000764,2
1,10000765,2
1,10000766,2
1,10000767,2
1,10000770,0
1,10000771,1
1,10000772,0
1,10000776,2
1,10000777,0
1,10000778,2
1,10000779,2
1,10000781,2
1,10000785,2
1,10000786,2
1,10000787,2
1,10000789,2
1,10000792,2
1,10000793,2
1,10000795,2
1,10000796,2
1,10000797,2
1,10000798,0
1,10000799,2
1,10000800,1
1,10000802,2
1,10000803,2
1,10000804,2
1,10000807,2
1,10000808,2
1,10000811,2
1,10000813,2
1,10000817,2
1,10000821,0
1,10000822,2
1,10000823,2
1,10000826,2
1,10000829,2
1,10000832,2
1,10000833,0
1,10000834,0
1,10000835,2
1,10000836,2
1,10000837,2
1,10000840,0
1,10000843,2
1,10000844,0
1,10000847,2
1,10000850,2
1,10000854,0
1,10000855,0
1,10000856,1
1,10000858,0
1,10000861,2
1,10000864,2
1,10000865,1
1,10000866,0
1,10000868,2
1,10000870,2
1,10000871,2
1,10000873,0
1,10000874,2
1,10000876,2
1,10000880,0
1,10000881,2
1,10000883,2
1,10000885,2
1,10000886,2
1,10000889,1
1,10000891,2
1,10000895,0
1,10000899,2
1,10000900,0
1,10000901,0
1,10000902,2
1,10000903,2
1,10000906,0
1,10000907,2
1,10000910,1
1,10000913,2
1,10000915,0
1,10000916,2
1,10000919,0
1,10000920,2
1,10000921,2
1,10000923,2
1,10000925,1
1,10000926,0
1,10000928,2
1,10000931,2
1,10000933,2
1,10000934,2
1,10000937,2
1,10000938,2
1,10000939,2
1,10000940,2
1,10000942,2
1,10000943,0
1,10000946,2
1,10000949,2
1,10000950,2
1,10000951,2
1,10000953,0
1,10000955,0
1,10000957,2
1,10000959,0
1,10000960,2
1,10000964,2
1,10000965,2
1,10000966,2
1,10000968,2
1,10000969,2
1,10000970,2
1,10000971,2
1,10000972,1
1,10000973,2
1,10000975,2
1,10000976,2
1,10000979,1
1,10000981,0
1,10000982,0
1,10000983,2
1,10000985,2
1,10000986,2
1,10000987,2
1,10000989,2
1,10000990,0
1,10000991,1
1,10000993,2
1,10000996,1
1,10000997,1
1,10000999,2
1,10001000,1
1,10001001,2
1,10001003,2
1,10001006,1
1,10001010,2
1,10001011,2
1,10001012,0
1,10001014,2
1,10001015,2
1,10001016,2
1,10001018,1
1,10001019,2
1,10001026,2
1,10001027,2
1,10001029,0
1,10001030,1
1,10001032,0
1,10001033,2
1,10001034,0
1,10001036,2
1,10001039,2
1,10001042,1
1,10001043,0
1,10001044,2
1,10001045,2
1,10001046,2
1,10001047,2
1,10001048,2
1,10001052,2
1,10001053,2
1,10001054,1
1,10001056,2
1,10001057,1
1,10001059,2
1,10001066,2
1,10001070,2
1,10001072,2
1,10001073,2
1,10001074,2
1,10001077,2
1,10001078,2
1,10001081,0
1,10001082,2
1,10001083,2
1,10001085,2
1,10001088,2
1,10001089,2
1,10001090,2
1,10001092,0
1,10001094,2
1,10001097,2
1,10001099,0
1,10001100,2
1,10001101,2
1,10001102,0
1,10001103,2
1,10001106,0
1,10001113,1
1,10001114,2
1,10001115,2
1,10001117,2
1,10001119,2
1,10001121,2
